long,lat,name,brand,amenity,website,operator,description,brand:wikipedia,contact:website
131.9143,43.177458,Чкаловский, супермаркет,,grocery,,Чкаловский,,
131.974568,43.097766,Smarket, супермаркет,,grocery,,Smarket,,
131.90368899999999,43.168546,Бальзам, продуктовый магазин,,grocery,,Бальзам,,
131.95955700000002,43.081340999999995,Илина, продмаркет,,grocery,,Илина,,
131.970784,43.087812,Давай зайдем, супермаркет,,grocery,,Давай зайдем,,
131.94884,43.161031,Добрый, супермаркет,,grocery,,Добрый,,
131.960386,43.096026,Виктория, мини-маркет,,grocery,,Виктория,,
131.931734,43.169098,МОЙ МАРТ, мини-маркет,,grocery,,МОЙ МАРТ,,
131.97011799999999,43.092104,Нора, продуктовый магазин,,grocery,,Нора,,
131.95646399999998,43.166681,МОЙ МАРТ, мини-маркет,,grocery,,МОЙ МАРТ,,
131.852429,43.081912,НК Альянс, мини-маркет,,grocery,,НК Альянс,,
131.91141299999998,43.160343,НК Альянс, мини-маркет,,grocery,,НК Альянс,,
131.954952,43.163821999999996,Родничок, мини-маркет,,grocery,,Родничок,,
131.96425,43.094024,Наш маркет, супермаркет,,grocery,,Наш маркет,,
131.913252,43.176753999999995,МОЙ МАРТ, мини-маркет,,grocery,,МОЙ МАРТ,,
131.94892,43.165396,Мини-маркет,,grocery,,Мини-маркет,,,
131.916585,43.181740999999995,Золотая осень, продуктовый магазин,,grocery,,Золотая осень,,
131.90599,43.171310999999996,Восторг, магазин,,grocery,,Восторг,,
131.95533400000002,43.165624,Магазин продуктов, ИП Солдатова И.С.,,grocery,,Магазин продуктов,,
131.907796,43.169773,Эл-Мир, мини-маркет,,grocery,,Эл-Мир,,
131.853045,43.083021,Минимаркет,,grocery,,Минимаркет,,,
131.917087,43.176588,Моя мечта, мини-маркет,,grocery,,Моя мечта,,
131.931135,43.178098999999996,Мини-маркет,,grocery,,Мини-маркет,,,
131.91421,43.188284,Эклетика, мини-маркет,,grocery,,Эклетика,,
131.88736200000002,43.033032,7/24, мини-маркет,,grocery,,июл.24,,
